WKT,Drawings
"MULTIPOLYGON (((123.861068345657 10.3417210325057,123.86554717554 10.3442912291385,123.86554717554 10.3449031776161,123.86554717554 10.3466166270061,123.866418059129 10.3478405137,123.868906297953 10.3489420076431,123.869403945718 10.3505330476228,123.870274829307 10.3527360127344,123.872141008425 10.3544494193459,123.873633951719 10.3537151033729,123.876371014426 10.3521240795331,123.876371014426 10.3504106602185,123.875997778603 10.3488196196181,123.874131599484 10.3479629021068,123.873882775602 10.3467390158903,123.873758363661 10.3457599034804,123.872141008425 10.3449031776161,123.871145712895 10.3438016694975,123.871021300954 10.3420882047415,123.870026005424 10.3400075563949,123.866666883011 10.3386612471775,123.866169235247 10.3393955983752,123.865795999423 10.3418434232987,123.862810112834 10.3418434232987,123.861068345657 10.3417210325057)))",Pink area
"MULTIPOLYGON (((123.881098668192 10.3373149321889,123.880227784604 10.338783639163,123.87985454878 10.3413538598406,123.880352196545 10.3428225479249,123.883213671193 10.3442912291385,123.883835730899 10.3471061822565,123.881720727898 10.3497987224809,123.88084984431 10.3506554349793,123.880725432369 10.351512145138,123.880725432369 10.3527360127344,123.87985454878 10.3550613480098,123.880103372663 10.3568971268362,123.88084984431 10.3600791180032,123.881720727898 10.3611805689577,123.883213671193 10.3617924844818,123.885826321959 10.3624043988111,123.889309856313 10.3625267815335,123.890927211548 10.3609358024135,123.892420154843 10.3599567343249,123.894659569785 10.3597119668248,123.897521044433 10.3583657421578,123.900258107139 10.3550613480098,123.901502226552 10.3540822615744,123.901999874316 10.3522464662689,123.901875462375 10.3506554349793,123.900382519081 10.3493091714315,123.900631342963 10.3477181252454,123.900880166845 10.3458822926987,123.898391928021 10.34527034613,123.896152513079 10.3456375142144,123.893415450373 10.3472285709497,123.888314560783 10.3549389623726,123.886821617488 10.3544494193459,123.887816913018 10.3522464662689,123.889309856313 10.3506554349793,123.889558680195 10.3493091714315,123.89005632796 10.3475957367431,123.89005632796 10.3461270709921,123.88906103243 10.3446583983683,123.887443677194 10.3440464494134,123.885826321959 10.3438016694975,123.884706614488 10.3436792794679,123.884582202546 10.3435568893906,123.881098668192 10.3373149321889)))",Pink area
"MULTIPOLYGON (((123.821256524468 10.3455151249007,123.823993587175 10.3523688529569,123.824117999116 10.3523688529569,123.824988882704 10.353103172082,123.82660623794 10.353103172082,123.830214184235 10.3533479447417,123.832080363354 10.353959875555,123.833448894707 10.3551837335993,123.834195366354 10.3568971268362,123.834693014119 10.3584881264574,123.837305664885 10.3611805689577,123.841286847004 10.3626491642082,123.846138912711 10.3654639525308,123.849871270947 10.3680339545619,123.854101276949 10.3703591763215,123.857211575479 10.3710934532897,123.862063641186 10.3707263150209,123.867040118835 10.367911573991,123.873136303955 10.3650968076621,123.874256011426 10.3639953704743,123.872141008425 10.3646072805012,123.867786590482 10.3666877656519,123.863680996422 10.3675444319914,123.859824226245 10.3675444319914,123.856962751597 10.3663206222176,123.852483921713 10.3643625166338,123.850742154536 10.3632610768644,123.847756267947 10.3614253353107,123.843526261945 10.3592224312513,123.84190890671 10.3564075868669,123.840291551474 10.3545718051742,123.838052136532 10.353103172082,123.835439485766 10.3522464662689,123.831955951412 10.3513897581157,123.828099181235 10.3507778222881,123.826730649881 10.348574843425,123.824242411057 10.3472285709497,123.821256524468 10.3455151249007)))",Pink area
"MULTIPOLYGON (((123.868719680041 10.3756826453183,123.86759997257 10.3759274003364,123.860508491921 10.3781301868834,123.859513196392 10.3792315743411,123.860010844156 10.3815567129055,123.860881727745 10.3841265827861,123.862374671039 10.3852279491265,123.863992026275 10.3830252125662,123.864862909864 10.3816790881406,123.865982617335 10.3797210786331,123.867102324806 10.3791091981484,123.867102324806 10.3791091981484,123.868719680041 10.3756826453183)))",Pink area
"MULTIPOLYGON (((123.891735889166 10.41117012217,123.894597363814 10.4099464832171,123.894721775755 10.4099464832171,123.896836778756 10.4100688473284,123.899947077286 10.4098241190577,123.901191196699 10.4092122975408,123.900817960875 10.408111015786,123.899200605639 10.4083557454009,123.897956486227 10.4083557454009,123.896836778756 10.408111015786,123.896836778756 10.408111015786,123.896463542932 10.4074991909088,123.894846187697 10.4065202686094,123.893353244402 10.4052966114157,123.892606772755 10.4043176822055,123.891735889166 10.4029716495272,123.890865005578 10.4016256110434,123.889372062283 10.4000348308061,123.888252354812 10.3979545674954,123.885515292105 10.3944058510386,123.883649112987 10.3926926631457,123.882280581634 10.3915913231104,123.881036462222 10.3896333756845,123.878548223397 10.387308297183,123.875686748749 10.3881649070644,123.875686748749 10.390489979193,123.876682044279 10.3920808080499,123.875811160691 10.3926926631457,123.873074097984 10.3926926631457,123.87270086216 10.3939163697423,123.873820569631 10.3959966599542,123.875811160691 10.3980769363091,123.879419106986 10.3985664110844,123.881285286104 10.3986887796584,123.883649112987 10.3995453583329,123.885390880164 10.4006466703183,123.887630295106 10.4026045486982,123.888874414518 10.4043176822055,123.889745298107 10.4074991909088,123.891735889166 10.41117012217)))",Pink area
"MULTIPOLYGON (((123.909775620642 10.4028492826322,123.909775620642 10.3977098297241,123.910273268407 10.3935492582666,123.911766211702 10.391836065676,123.911766211702 10.3864516849541,123.90853150123 10.3808224604893,123.908282677348 10.376172155163,123.909029148995 10.3710322636081,123.908282677348 10.3644237076186,123.908282677348 10.3619760589061,123.906043262406 10.3605074605011,123.900071489228 10.3614865268691,123.896587954874 10.3634446504282,123.893602068284 10.3663818128199,123.891860301107 10.3698084674652,123.894348539932 10.3710322636081,123.898329722051 10.372500812665,123.898329722051 10.3764169097981,123.894099716049 10.3773959264242,123.89111382946 10.3773959264242,123.886634999576 10.3786196928989,123.888127942871 10.3840042085088,123.890865005578 10.3886543973711,123.89310442052 10.3933045170432,123.895095011579 10.3979545674954,123.894348539932 10.3994229900947,123.895592659344 10.3962413990682,123.896339130991 10.3925702922224,123.896587954874 10.3891438869112,123.897583250403 10.3852279491265,123.900817960875 10.3849832013861,123.900071489228 10.3896333756845,123.900569136992 10.391836065676,123.901066784757 10.393059775628,123.909775620642 10.4028492826322)))",Pink area
"MULTIPOLYGON (((123.959042749364 10.4623139288139,123.951578032891 10.4654948444924,123.944859788065 10.4664735812159,123.941376253711 10.4679416805101,123.933165065591 10.4701438164196,123.930428002884 10.4716118983367,123.929930355119 10.4752820727102,123.933911537238 10.4772394812702,123.938888014887 10.4743033637935,123.940629782064 10.473324651786,123.942620373123 10.4762607785359,123.94535743583 10.4806649164925,123.951329209008 10.4818882770343,123.956305686657 10.4791968774639,123.957052158304 10.4760161023693,123.957052158304 10.473324651786,123.959291573246 10.4716118983367,123.963521579247 10.4725906157523,123.966258641954 10.4730799733013,123.967751585249 10.4694097728542,123.967751585249 10.4676969977771,123.967751585249 10.4662288973246,123.968498056896 10.4645161046805,123.968498056896 10.4642714192451,123.959042749364 10.4623139288139)))",Pink area
"MULTIPOLYGON (((123.98840396749 10.4444512584162,123.985666904783 10.450324030535,123.985666904783 10.4535050690802,123.983427489842 10.457175457681,123.978699836075 10.4613351789671,123.977953364428 10.4630479891729,123.976709245016 10.4657395289628,123.975216301721 10.4689204095118,123.973474534544 10.473324651786,123.978451012193 10.4728352946234,123.981436898782 10.4725906157523,123.984173961489 10.4745480413124,123.985169257019 10.4779735062922,123.984671609254 10.4818882770343,123.982681018194 10.4853136608402,123.982183370429 10.4897176700423,123.984920433136 10.4946109400905,123.989150439138 10.5007274187862,123.995122212316 10.5039079398838,123.994873388433 10.4968128863586,123.993629269021 10.4894730045084,123.994126916786 10.4845796532148,123.994873388433 10.4777288314781,123.994873388433 10.4747927186382,123.994873388433 10.4708778582472,123.994873388433 10.4654948444924,123.994873388433 10.460845802886,123.994873388433 10.4579095301941,123.994873388433 10.4554626150668,123.994375740669 10.4530156806554,123.994126916786 10.4527709861538,123.98840396749 10.4444512584162)))",Pink area
"MULTIPOLYGON (((123.884146760752 10.4843349836196,123.877428515927 10.4772394812702,123.877179692044 10.4767501302895,123.871954390513 10.4725906157523,123.869466151689 10.4667182649142,123.866729088982 10.4642714192451,123.856527309802 10.459622359307,123.853541423213 10.4564413834321,123.851550832154 10.4544838436161,123.848813769447 10.4498346370981,123.844334939563 10.4437171540979,123.838611990267 10.4385783753331,123.834630808149 10.4366207229903,123.837616694738 10.4407807194891,123.841100229092 10.4451853610006,123.843339644034 10.4495899400906,123.844832587328 10.4552179224934,123.846574354505 10.461090491023,123.849311417212 10.4659842132402,123.853541423213 10.4706331778311,123.856527309802 10.4747927186382,123.860259668039 10.4791968774639,123.870212623336 10.4826222910398,123.877677339809 10.4845796532148,123.88190734581 10.4848243226166,123.884146760752 10.4843349836196)))",Pink area
"MULTIPOLYGON (((123.819328139379 10.3267277996453,123.821567554321 10.3291757232579,123.821691966262 10.32905332753,123.822811673733 10.3273397823352,123.82355814538 10.3258710218784,123.823931381204 10.3245246521,123.824304617028 10.3219542937918,123.824304617028 10.3203631090763,123.82455344091 10.3196287134166,123.826792855852 10.31571190762,123.827166091676 10.3147326985551,123.828410211088 10.3128966733495,123.829156682735 10.3128966733495,123.830774037971 10.3139982897577,123.835004043972 10.3162015110102,123.834381984266 10.3131414773288,123.833262276795 10.3117950530872,123.831769333501 10.3105710260537,123.8296543305 10.3086125729056,123.828036975264 10.3062868939778,123.825051088675 10.3056748703541,123.824677852851 10.3064092985599,123.825175500616 10.3093469942632,123.824926676734 10.3124070648198,123.823433733439 10.31571190762,123.821691966262 10.3154671056393,123.819950199085 10.3146102972078,123.81733754832 10.3119174555288,123.815222545319 10.3115502480611,123.815471369202 10.3137534864445,123.817959608026 10.3158343085389,123.819701375203 10.3201183107135,123.819576963262 10.3241574593419,123.819328139379 10.3267277996453)))",Pink area
